Job_ID,Duration_min,Deadline,Priority,Compatible_Machines,Arrival_Time,Setup_Type
J064,90,110,2,"M02,M10",34,Type_A
J065,90,273,2,"M02,M04,M08,M09",177,Type_C
J066,15,121,1,"M09,M10",58,Type_A
J067,210,159,2,"M04,M05,M08",35,Type_B
J068,180,164,1,"M02,M05,M09",98,Type_A
J069,240,151,1,"M01,M03,M04,M09",33,Type_B
J070,150,233,3,"M03,M08,M09",138,Type_C
J071,210,155,2,"M02,M03,M06",38,Type_B
J072,150,133,2,"M02,M04,M05",43,Type_C
J073,240,230,2,"M04,M05,M07,M08",155,Type_A
J074,45,170,2,"M01,M02,M06,M07,M09",65,Type_B
J075,30,241,2,"M03,M04,M09",145,Type_B
J076,15,170,3,"M02,M03,M06,M08",88,Type_C
J077,45,148,3,"M01,M06,M09",70,Type_C
J078,180,139,2,"M02,M06",54,Type_B
J079,150,161,2,"M01,M04,M05,M08",68,Type_A
J080,15,172,2,"M02,M05,M08",104,Type_B
J081,30,78,2,"M03,M05,M07,M09,M10",8,Type_A
J082,210,150,2,"M02,M04,M06,M10",68,Type_B
J083,210,120,2,"M03,M04,M06",58,Type_A
J084,30,268,2,"M01,M04,M07,M08",151,Type_B
J085,60,144,2,"M03,M06,M08",75,Type_A
J086,210,239,2,"M01,M03,M05,M07,M10",165,Type_A
J087,120,134,2,"M01,M03,M04,M06,M08",67,Type_A
J088,60,139,1,"M01,M05",15,Type_C
J089,240,144,1,"M05,M06,M07,M08,M09",46,Type_C
J090,60,146,2,"M01,M07,M09,M10",71,Type_C
J091,30,92,2,"M08,M10",13,Type_A
J092,60,99,2,"M01,M02,M04",41,Type_B
J093,120,140,2,"M02,M03,M05,M07",62,Type_C
J094,45,115,2,"M01,M02,M03,M06",46,Type_B
J095,30,135,2,"M06,M07",27,Type_A
J096,15,74,3,"M03,M07",21,Type_A
J097,30,115,3,"M01,M07,M08,M10",34,Type_A
J098,45,167,2,"M03,M05,M07,M08,M10",59,Type_C
J099,210,194,2,"M01,M03,M06,M08,M09",72,Type_A
J100,180,145,1,"M05,M07,M09,M10",48,Type_C
J101,30,229,3,"M02,M08",163,Type_C
J102,90,185,2,"M03,M10",107,Type_C
J103,60,80,3,"M07,M09",12,Type_C
J104,30,252,2,"M01,M07,M08,M10",154,Type_A
J105,30,136,1,"M01,M03,M04,M09",65,Type_C
J106,150,251,1,"M02,M10",147,Type_A
J107,90,242,2,"M04,M06,M08",141,Type_A
J108,45,250,2,"M02,M03,M07",131,Type_A
J109,180,248,1,"M03,M07",161,Type_A
J110,60,161,2,"M01,M03,M04,M05,M06",39,Type_A
J111,150,247,3,"M01,M03,M06,M08",160,Type_A
J112,180,152,2,"M01,M05,M06,M07,M10",43,Type_A
J113,180,155,2,"M03,M05,M06,M08",47,Type_B
J114,60,255,1,"M05,M07,M08",144,Type_A
J115,180,145,2,"M02,M03,M06,M09,M10",51,Type_A
J116,30,272,2,"M02,M08",165,Type_C
J117,45,118,3,"M03,M05,M06,M08,M10",42,Type_A
J118,180,132,2,"M04,M09,M10",37,Type_A
J119,210,248,2,"M01,M02,M03,M07,M10",150,Type_A
J120,60,172,2,"M01,M04,M07,M10",69,Type_A
J121,15,249,1,"M01,M02,M06",155,Type_B
J122,30,220,2,"M02,M07,M10",165,Type_C
J123,30,148,2,"M01,M06,M10",39,Type_C
J124,210,131,2,"M04,M07,M08",14,Type_B
J125,60,129,3,"M02,M05,M10",70,Type_A
J126,15,149,3,"M02,M05,M10",30,Type_C
J127,30,164,3,"M02,M05,M07,M08",66,Type_A
J128,60,157,1,"M02,M03,M07",99,Type_B
J129,90,144,2,"M03,M06,M07,M09",55,Type_B
J130,240,238,3,"M02,M04,M06,M08,M10",113,Type_C
J131,90,75,2,"M02,M06,M09",1,Type_A
J132,45,175,1,"M01,M02,M06,M07,M09",56,Type_B
J133,45,229,3,"M09,M10",148,Type_B
J134,210,131,2,"M01,M10",53,Type_B
J135,30,170,2,"M01,M02,M04,M07,M09",94,Type_C
J136,210,223,3,"M03,M07,M09",123,Type_C
J137,120,235,2,"M02,M06",129,Type_B
J138,180,213,2,"M04,M07,M08",86,Type_B
J139,60,238,2,"M01,M02,M03",172,Type_C
J140,45,180,2,"M04,M06,M08",59,Type_B
J141,120,113,1,"M04,M06,M08",19,Type_A
J142,15,130,2,"M06,M08,M09",72,Type_B
J143,45,195,3,"M07,M08,M10",77,Type_A
J144,60,229,2,"M06,M08",152,Type_A
J145,45,182,2,"M03,M09",86,Type_B
J146,30,116,3,"M01,M03,M04,M06,M08",16,Type_C
J147,180,226,1,"M07,M09",166,Type_C
J148,210,121,2,"M05,M06,M09",43,Type_A
J149,60,250,2,"M01,M04,M07,M08",148,Type_B
J150,45,119,2,"M01,M03,M09",45,Type_A
J151,45,208,1,"M02,M04,M09",157,Type_C
J152,30,169,2,"M03,M05,M09",118,Type_A
J153,210,284,2,"M01,M04",162,Type_C
J154,15,100,2,"M03,M06,M07,M08,M09",40,Type_C
J155,180,134,1,"M01,M02,M04,M06,M09",67,Type_C
J156,90,236,2,"M04,M05,M07,M08",141,Type_A
J157,15,112,2,"M01,M02,M04,M07",55,Type_C
J158,30,233,2,"M03,M07,M09",136,Type_C
J159,60,219,1,"M01,M06,M07,M09",128,Type_B
J160,60,136,1,"M02,M03,M04,M05,M08",37,Type_C
J161,30,180,2,"M02,M04,M07",95,Type_C
J162,15,267,1,"M02,M04,M07,M09,M10",162,Type_A
J163,15,151,3,"M02,M03,M04,M08,M09",55,Type_C
J164,150,236,2,"M02,M05,M06,M07,M09",148,Type_C
J165,15,99,3,"M01,M08,M09,M10",49,Type_A
J166,60,222,3,"M04,M10",151,Type_A
J167,15,211,1,"M01,M03,M04,M05,M10",153,Type_C
J168,90,129,2,"M05,M09",74,Type_A
J169,45,137,3,"M05,M09",67,Type_B
J170,15,114,2,"M03,M06,M08,M09",50,Type_C
J171,180,110,2,"M06,M08",45,Type_B
J172,15,203,2,"M03,M05,M07",132,Type_C
J173,30,246,1,"M03,M10",160,Type_A
J174,90,222,2,"M01,M05,M06,M07,M09",155,Type_A
J175,240,155,3,"M03,M04,M05,M10",72,Type_C
J176,240,249,3,"M01,M06,M10",184,Type_B
J177,15,90,1,"M04,M05,M06,M07",38,Type_A
J178,15,209,2,"M03,M06",149,Type_A
J179,30,270,2,"M01,M02,M06,M07,M10",187,Type_B
J180,45,259,3,"M01,M02,M07",160,Type_B
J181,30,246,1,"M03,M04,M07,M09",139,Type_A
J182,180,137,3,"M04,M09",32,Type_B
J183,120,216,3,"M06,M07,M08,M09",115,Type_B
J184,30,214,1,"M01,M04,M07,M10",96,Type_B
J185,60,135,1,"M04,M07,M09,M10",65,Type_A
J186,15,288,3,"M01,M02,M04,M06",187,Type_B
J187,90,134,1,"M01,M02,M04,M06,M08",12,Type_C
J188,120,140,2,"M01,M03,M04,M07",43,Type_A
J189,45,157,3,"M02,M04,M09",45,Type_A
J190,180,161,2,"M03,M06,M08,M09,M10",91,Type_C
J191,45,262,2,"M02,M04,M06,M07,M08",147,Type_B
J192,240,246,2,"M01,M02,M06,M08",141,Type_C
J193,90,219,1,"M02,M05,M06,M09",149,Type_B
J194,45,187,3,"M02,M04,M08,M09",132,Type_C
J195,45,218,2,"M03,M05,M07,M08,M09",115,Type_B
J196,30,115,1,"M06,M08,M09",34,Type_A
J197,240,246,2,"M01,M08",160,Type_C
J198,180,113,3,"M03,M04",25,Type_B
J199,30,182,1,"M01,M05,M06",60,Type_A
J200,45,211,3,"M04,M05",129,Type_B
J201,240,231,2,"M01,M03,M04,M07",162,Type_B
J202,90,239,3,"M02,M03,M04,M05,M09",165,Type_A
J203,30,222,3,"M01,M04,M06,M09",162,Type_C
J204,15,260,3,"M03,M04,M05,M09",161,Type_A
J205,30,166,3,"M02,M05",58,Type_A
J206,240,209,1,"M01,M04,M05,M06,M07",84,Type_B
J207,210,264,2,"M01,M02,M06",156,Type_C
J208,240,224,2,"M02,M03,M05,M07,M10",104,Type_C
J209,180,145,2,"M04,M09",55,Type_C
J210,90,224,3,"M03,M08",125,Type_A
J211,150,110,3,"M02,M07,M10",45,Type_C
J212,30,134,2,"M01,M04,M08,M10",45,Type_C
J213,15,122,2,"M01,M04,M08,M09",33,Type_B
J214,15,95,2,"M05,M06",44,Type_B
J215,150,133,2,"M02,M04,M10",35,Type_A
J216,120,168,2,"M01,M02,M03,M06,M10",60,Type_C
J217,60,232,2,"M02,M03,M05,M09,M10",154,Type_C
J218,30,199,1,"M03,M04,M08,M09",110,Type_B
J219,120,220,1,"M02,M03,M08",144,Type_B
J220,30,161,2,"M02,M04,M09",92,Type_B
J221,30,97,2,"M01,M02,M03,M05,M06",38,Type_A
J222,240,270,3,"M01,M02,M04,M07",183,Type_B
J223,30,249,2,"M06,M10",141,Type_C
J224,45,279,1,"M02,M05,M07",160,Type_C
J225,120,155,1,"M02,M03,M04,M07,M10",53,Type_C
J226,60,249,2,"M01,M02,M07,M08,M09",152,Type_B
J227,240,110,3,"M04,M07,M08,M10",2,Type_C
J228,60,249,2,"M05,M08,M09,M10",163,Type_B
J229,120,228,2,"M01,M03,M05,M10",142,Type_B
J230,210,146,3,"M01,M04,M07,M10",39,Type_B
J231,120,259,3,"M02,M03,M08",146,Type_C
J232,30,203,2,"M01,M03",123,Type_C
J233,30,129,1,"M03,M06,M09,M10",38,Type_A
J234,45,103,1,"M01,M02,M04,M08",18,Type_A
J235,210,172,1,"M04,M10",90,Type_B
J236,15,83,1,"M02,M05,M06,M07,M10",13,Type_B
J237,30,124,2,"M01,M05,M06,M08",69,Type_C
J238,180,127,3,"M01,M05,M06,M07,M09",35,Type_B
J239,150,220,2,"M01,M03,M05,M08,M10",110,Type_B
J240,30,173,2,"M01,M03,M07,M09",73,Type_C
J241,30,123,2,"M01,M02,M07,M08,M10",2,Type_B
J242,30,164,3,"M01,M04,M10",112,Type_B
J243,15,173,2,"M02,M03,M06,M07",69,Type_B
J244,15,153,3,"M01,M02,M05,M06,M09",46,Type_B
J245,60,139,3,"M01,M03,M04,M05,M10",56,Type_C
J246,60,129,2,"M02,M09",57,Type_C
J247,15,207,1,"M02,M04,M08,M10",132,Type_B
J248,45,139,2,"M03,M04,M05,M07,M10",39,Type_B
J249,45,238,2,"M04,M05,M10",125,Type_B
J250,15,258,3,"M02,M03,M05,M08,M10",163,Type_A
J251,210,156,2,"M03,M04,M05,M10",57,Type_B
J252,60,160,2,"M03,M05,M08",61,Type_A
J253,45,222,2,"M05,M06,M09",166,Type_A
J254,60,242,1,"M05,M10",146,Type_A
J255,90,177,2,"M02,M03,M04,M06",120,Type_B
J256,45,173,2,"M01,M04,M06,M09,M10",52,Type_A
J257,45,154,2,"M01,M04,M07,M08,M10",39,Type_B
J258,30,140,2,"M01,M02,M03,M05,M09",53,Type_B
J259,60,229,2,"M02,M10",150,Type_B
J260,150,255,2,"M03,M04,M05",144,Type_C
J261,60,234,1,"M01,M02,M04",136,Type_B
J262,15,231,3,"M01,M02,M07",131,Type_C
J263,15,246,1,"M04,M05,M06,M07,M09",160,Type_C
J264,90,86,1,"M03,M04,M08",15,Type_A
J265,60,117,2,"M01,M03,M04,M05",60,Type_A
J266,45,239,2,"M04,M05,M08",168,Type_B
J267,180,249,2,"M01,M06,M08",151,Type_C
J268,120,156,2,"M05,M06,M08",70,Type_A
J269,15,118,3,"M02,M04,M07,M10",33,Type_A
J270,15,258,2,"M01,M02,M07,M08,M09",189,Type_C
J271,45,262,2,"M01,M02,M07,M10",143,Type_C
J272,180,223,2,"M03,M06",137,Type_A
J273,60,236,1,"M04,M05,M09",123,Type_B
J274,90,223,2,"M02,M05,M08,M10",141,Type_B
J275,210,243,2,"M04,M05,M06,M07,M10",149,Type_A
J276,30,266,2,"M01,M02,M09,M10",172,Type_A
J277,30,71,1,"M02,M03,M05,M07,M10",2,Type_B
J278,45,173,3,"M07,M09",106,Type_B
J279,15,145,2,"M01,M02,M07,M08,M10",69,Type_A
J280,45,270,3,"M04,M07",161,Type_B
J281,15,70,2,"M01,M03,M07,M09",11,Type_A
J282,180,129,1,"M01,M07,M08,M10",38,Type_C
J283,120,192,3,"M03,M04,M08,M09,M10",87,Type_A
J284,90,151,2,"M02,M04,M07",46,Type_A
J285,60,151,2,"M06,M08,M09",68,Type_A
J286,60,63,2,"M06,M07",6,Type_C
J287,210,122,2,"M07,M10",59,Type_C
J288,60,217,3,"M06,M09",131,Type_B
J289,210,142,2,"M01,M02,M06,M09",21,Type_A
J290,180,235,2,"M01,M06,M09",173,Type_C
J291,180,191,2,"M06,M07",67,Type_B
J292,45,170,2,"M01,M03,M05,M06,M09",70,Type_C
J293,240,229,3,"M01,M02,M04,M08,M10",165,Type_B
J294,60,133,2,"M03,M04,M05,M10",56,Type_C
J295,30,214,2,"M06,M07,M10",148,Type_C
J296,15,282,3,"M01,M07,M08",164,Type_A
J297,240,274,2,"M05,M08,M10",170,Type_C
J298,45,136,2,"M02,M07,M08,M10",62,Type_A
J299,15,175,2,"M03,M04,M09,M10",106,Type_B
J300,150,272,2,"M01,M02,M04,M06",173,Type_A
J301,180,193,2,"M03,M08,M09",133,Type_C
J302,60,210,1,"M03,M04,M08,M10",140,Type_A
J303,45,125,1,"M02,M09,M10",62,Type_B
J304,15,150,2,"M01,M04,M05,M08",56,Type_B
J305,210,243,2,"M02,M03,M07,M08,M10",133,Type_C
J306,150,104,3,"M02,M09",12,Type_C
J307,90,136,2,"M06,M07,M10",72,Type_A
J308,210,146,1,"M05,M08",57,Type_C
J309,15,151,3,"M01,M04,M06,M07,M10",41,Type_A
J310,210,204,1,"M02,M09",128,Type_B
J311,60,237,1,"M02,M06,M08,M09",174,Type_B
J312,150,119,2,"M04,M08",53,Type_B
J313,60,288,2,"M05,M10",182,Type_C
J314,15,245,3,"M01,M02,M07,M08",188,Type_C
J315,45,250,2,"M01,M06,M07,M08",157,Type_B
J316,120,259,2,"M07,M09",131,Type_C
J317,15,285,1,"M01,M06",190,Type_A
J318,45,152,2,"M02,M03,M07,M08,M10",71,Type_A
J319,90,99,2,"M03,M04,M05,M09,M10",30,Type_B
J320,240,219,1,"M02,M03,M06,M07,M10",155,Type_B
J321,15,116,2,"M05,M10",56,Type_C
J322,60,142,2,"M01,M03,M04",21,Type_C
J323,60,104,1,"M02,M10",42,Type_A
J324,30,157,2,"M01,M02",106,Type_A
J325,240,276,2,"M01,M03,M06,M09",153,Type_C
J326,15,215,1,"M01,M02,M04,M05",136,Type_B
J327,240,177,2,"M02,M04,M06,M07",87,Type_A
J328,150,169,2,"M02,M06,M10",59,Type_C
J329,15,131,2,"M02,M03,M06,M07,M10",44,Type_B
J330,60,268,3,"M01,M02,M03,M07,M10",150,Type_C
J331,15,202,2,"M02,M05,M06,M09",119,Type_C
J332,30,240,3,"M01,M03,M06,M09",138,Type_C
J333,45,184,2,"M01,M05,M06,M10",69,Type_B
J334,120,223,2,"M03,M06",134,Type_C
J335,30,97,1,"M01,M08,M10",27,Type_C
J336,150,288,2,"M01,M06,M08",183,Type_A
J337,60,161,2,"M03,M08",93,Type_A
J338,240,97,2,"M01,M02,M06",31,Type_A
J339,60,163,2,"M01,M02,M03,M04,M05",69,Type_B
J340,15,189,2,"M03,M04,M06,M07,M10",68,Type_B
J341,15,186,2,"M01,M07",131,Type_A
J342,30,141,1,"M03,M07",29,Type_B
J343,120,233,2,"M02,M06",117,Type_A
J344,60,152,2,"M03,M04,M06,M07,M08",33,Type_B
J345,30,212,2,"M01,M04,M06",132,Type_B
J346,30,156,2,"M01,M03,M06,M10",88,Type_B
J347,45,230,2,"M02,M04,M06,M08,M10",142,Type_B
J348,30,220,3,"M02,M05,M07,M09,M10",160,Type_B
J349,15,145,2,"M01,M02,M05,M10",35,Type_C
J350,210,179,2,"M01,M02,M03,M05,M06",69,Type_C
J351,150,94,3,"M03,M06,M09,M10",1,Type_C
J352,120,124,3,"M01,M04,M07,M08",31,Type_B
J353,45,258,2,"M01,M10",156,Type_B
J354,30,215,3,"M02,M03,M07,M10",127,Type_A
J355,90,156,3,"M02,M03,M07,M09",41,Type_B
J356,15,135,2,"M01,M02,M03,M08,M10",19,Type_A
J357,30,218,2,"M02,M06,M10",99,Type_B
J358,15,139,1,"M02,M03,M04,M05,M07",45,Type_A
J359,15,143,1,"M02,M10",40,Type_B
J360,15,241,2,"M01,M02,M05",170,Type_C
J361,30,102,2,"M03,M08,M10",50,Type_C
J362,30,154,2,"M03,M06,M09,M10",75,Type_B
J363,45,247,2,"M01,M02,M06,M08,M09",133,Type_A
J364,120,136,2,"M02,M03,M05,M07",71,Type_A
J365,15,113,3,"M03,M05,M09",25,Type_A
J366,45,137,1,"M01,M02,M07",72,Type_C
J367,30,215,2,"M01,M02,M05",134,Type_C
J368,90,239,2,"M03,M07",175,Type_B
J369,90,170,3,"M05,M09",63,Type_A
J370,30,287,3,"M03,M05",178,Type_A
J371,45,156,3,"M02,M03,M05,M08,M09",50,Type_C
J372,15,200,3,"M06,M07",100,Type_A
J373,90,88,2,"M02,M05,M08,M09",17,Type_A
J374,45,221,2,"M03,M10",132,Type_A
J375,45,242,2,"M01,M04,M05,M10",184,Type_A
J376,150,235,2,"M02,M09",150,Type_B
J377,30,119,3,"M02,M06",33,Type_C
J378,210,260,2,"M01,M02",150,Type_A
J379,15,163,2,"M03,M06,M08",107,Type_C
J380,60,277,2,"M01,M02,M04,M05",166,Type_A
J381,15,108,1,"M01,M02,M03,M04,M07",26,Type_A
J382,60,282,1,"M03,M08,M10",166,Type_A
J383,15,134,1,"M01,M09,M10",47,Type_C
J384,30,253,3,"M01,M03,M05",164,Type_B
J385,180,277,2,"M04,M05,M06,M07,M08",167,Type_C
J386,90,254,3,"M07,M09",141,Type_A
J387,180,78,2,"M01,M08",7,Type_A
J388,210,232,1,"M01,M05,M09",133,Type_C
J389,15,113,1,"M06,M08",62,Type_A
J390,210,168,3,"M08,M10",72,Type_A
J391,90,250,2,"M08,M09",137,Type_B
J392,150,249,3,"M01,M02,M05,M09",128,Type_B
J393,15,215,1,"M03,M05",146,Type_A
J394,60,141,2,"M04,M10",61,Type_B
J395,120,249,3,"M03,M07,M08,M10",153,Type_C
J396,240,145,2,"M02,M03,M06,M10",53,Type_B
J397,30,81,2,"M06,M08,M10",19,Type_B
J398,15,211,3,"M01,M03,M04,M05,M09",140,Type_A
J399,45,146,2,"M03,M10",66,Type_B
J400,150,149,2,"M03,M06,M10",54,Type_C
J401,45,275,2,"M02,M05,M07,M09",157,Type_B
J402,180,117,2,"M05,M06,M08",18,Type_C
J403,60,258,2,"M03,M04,M05,M07",178,Type_A
J404,90,141,2,"M01,M04,M09",39,Type_A
J405,90,169,2,"M01,M02,M04,M06,M10",59,Type_B
J406,45,82,3,"M03,M05,M07,M09",0,Type_A
J407,240,154,2,"M05,M08",55,Type_B
J408,90,203,1,"M02,M04,M05,M06",134,Type_C
J409,60,211,2,"M02,M03,M04,M06,M08",96,Type_B
J410,240,288,3,"M07,M09",184,Type_B
J411,15,128,1,"M07,M09",67,Type_C
J412,15,105,2,"M01,M06,M07,M08,M09",31,Type_A
J413,180,88,2,"M04,M05,M06,M10",9,Type_C
J414,150,205,3,"M03,M04,M05,M08,M10",80,Type_A
J415,60,96,1,"M02,M04,M05,M06,M07",40,Type_C
J416,210,228,2,"M01,M02,M04,M06",151,Type_B
J417,30,126,2,"M03,M08",54,Type_A
J418,150,275,2,"M03,M07,M09",177,Type_C
J419,180,241,1,"M02,M04,M06",163,Type_A
J420,45,233,1,"M04,M05,M06,M08,M09",143,Type_B
J421,90,162,2,"M01,M02,M04,M06,M07",54,Type_C
J422,15,254,2,"M01,M03,M04",145,Type_C
J423,180,130,3,"M02,M03,M07",63,Type_C
J424,150,209,2,"M01,M02,M03,M04,M08",141,Type_B
J425,45,191,2,"M03,M09,M10",134,Type_B
J426,30,213,3,"M01,M04,M05,M09,M10",97,Type_A
J427,30,268,2,"M02,M08,M10",171,Type_C
J428,120,229,2,"M03,M08",135,Type_B
J429,45,143,3,"M01,M04,M07",35,Type_C
J430,45,261,2,"M01,M06,M08,M10",168,Type_B
J431,240,133,2,"M03,M08,M10",52,Type_C
J432,60,133,2,"M04,M05,M07,M10",44,Type_A
J433,60,225,1,"M04,M05,M07,M08",122,Type_C
J434,150,111,2,"M03,M05,M10",51,Type_A
J435,180,135,2,"M08,M10",31,Type_A
J436,30,118,1,"M02,M03,M05,M07",32,Type_B
J437,30,95,2,"M02,M03,M04,M05,M06",40,Type_B
J438,45,244,2,"M02,M03,M05,M06",174,Type_C
J439,90,242,2,"M03,M04,M05,M06",156,Type_B
J440,180,131,3,"M01,M03,M04,M06,M07",46,Type_A
J441,60,114,3,"M04,M07,M08,M09",41,Type_A
J442,90,245,2,"M02,M05,M07,M09",144,Type_B
J443,15,148,2,"M08,M09,M10",70,Type_B
J444,210,154,2,"M01,M02,M05,M08,M10",56,Type_B
J445,240,266,1,"M01,M04,M05,M06,M08",144,Type_A
J446,180,231,3,"M01,M03,M05,M07,M09",165,Type_B
J447,210,99,2,"M01,M05",11,Type_B
J448,60,125,2,"M03,M05,M07,M08",68,Type_C
J449,30,286,3,"M01,M02,M03,M04,M09",169,Type_B
J450,30,192,2,"M02,M04,M09",129,Type_C
J451,180,258,1,"M04,M09,M10",139,Type_A
J452,15,130,1,"M05,M08",68,Type_C
J453,60,228,2,"M02,M03,M04,M09",153,Type_A
J454,60,247,2,"M08,M10",151,Type_A
J455,45,284,2,"M05,M06,M07,M10",173,Type_C
J456,210,141,3,"M01,M04,M09,M10",67,Type_B
J457,60,155,3,"M07,M08,M09",88,Type_B
J458,30,127,3,"M02,M03,M06,M10",13,Type_B
J459,45,113,2,"M03,M09",39,Type_C
J460,150,239,1,"M03,M04,M06",166,Type_A
J461,15,160,3,"M03,M07,M08",57,Type_A
J462,15,120,2,"M07,M10",65,Type_A
J463,60,270,2,"M03,M04,M05,M07",155,Type_C
J464,30,262,2,"M01,M03,M04,M07,M08",149,Type_A
J465,240,288,1,"M03,M10",177,Type_B
J466,120,119,2,"M01,M03,M10",42,Type_B
J467,210,140,3,"M04,M06,M07,M08",70,Type_A
J468,120,101,2,"M01,M02,M03,M08",14,Type_B
J469,120,222,2,"M01,M07,M08",142,Type_A
J470,15,162,3,"M03,M07",43,Type_A
J471,15,251,2,"M02,M04,M07",156,Type_A
J472,120,288,2,"M01,M05,M09,M10",168,Type_C
J473,120,260,3,"M02,M03,M04",150,Type_B
J474,45,178,2,"M05,M07,M08",75,Type_C
J475,60,76,2,"M02,M04,M05,M08",16,Type_B
J476,45,123,1,"M02,M06,M07,M08,M09",67,Type_A
J477,60,69,2,"M04,M05,M06,M07,M10",14,Type_B
J478,15,151,2,"M01,M02,M03,M06",59,Type_C
J479,60,207,2,"M01,M02,M06,M10",141,Type_B
J480,60,172,2,"M01,M07,M08",48,Type_A
J481,15,242,2,"M03,M04",184,Type_A
J482,15,214,2,"M03,M07,M09",96,Type_C
J483,15,133,3,"M02,M04,M07,M08,M10",36,Type_B
J484,240,137,2,"M01,M03,M05,M08,M09",66,Type_C
J485,45,192,2,"M03,M07,M08",137,Type_B
J486,210,242,2,"M03,M04,M09",152,Type_A
J487,15,236,2,"M01,M03,M04,M05,M08",163,Type_C
J488,15,255,1,"M04,M10",183,Type_C
J489,15,129,2,"M03,M06,M08,M09,M10",42,Type_C
J490,240,225,3,"M01,M07",152,Type_C
J491,45,248,2,"M01,M02,M03,M04,M06",188,Type_A
J492,60,134,3,"M06,M07,M08",32,Type_C
J493,210,288,3,"M01,M02,M06,M07",159,Type_A
J494,15,220,2,"M07,M10",152,Type_C
J495,60,226,2,"M01,M03,M06",106,Type_A
J496,60,219,2,"M04,M08",142,Type_B
J497,15,131,3,"M03,M05",58,Type_C
J498,60,204,1,"M01,M02,M04,M05,M09",146,Type_A
J499,180,146,2,"M03,M06,M07,M09,M10",56,Type_A
J500,15,133,3,"M06,M08,M09,M10",48,Type_C
