Job_ID,Duration_min,Deadline,Priority,Compatible_Machines,Arrival_Time,Setup_Type
J038,30,128,1,"M01,M02,M05,M06",86,Type_A
J039,60,163,3,"M05,M06,M08",69,Type_C
J040,60,174,2,"M04,M07",141,Type_B
J041,60,151,3,"M02,M06",57,Type_B
J042,60,215,2,"M03,M04,M06",133,Type_C
J043,150,136,2,"M02,M05",43,Type_C
J044,30,166,1,"M02,M04,M05,M08",82,Type_C
J045,75,80,3,"M05,M06,M08",39,Type_B
J046,60,134,2,"M02,M03,M08",42,Type_C
J047,45,216,2,"M02,M03,M04,M08",148,Type_B
J048,30,223,2,"M04,M05",131,Type_C
J049,75,232,2,"M02,M06",154,Type_C
J050,15,223,3,"M02,M03,M05,M07",159,Type_B
J051,30,117,1,"M03,M05,M07",66,Type_C
J052,30,201,2,"M05,M07,M08",167,Type_B
J053,90,67,2,"M05,M06,M07,M08",31,Type_C
J054,120,79,2,"M01,M02,M08",21,Type_A
J055,90,132,1,"M03,M04,M05,M06,M07",47,Type_C
J056,105,116,1,"M01,M05,M07,M08",51,Type_B
J057,75,67,2,"M02,M03,M04,M07",5,Type_C
J058,60,172,2,"M01,M03,M07,M08",128,Type_B
J059,90,135,2,"M02,M05,M08",67,Type_C
J060,120,232,2,"M01,M02,M03,M04,M08",166,Type_A
J061,30,136,2,"M01,M02,M07",43,Type_A
J062,45,115,2,"M02,M08",38,Type_B
J063,105,134,2,"M07,M08",62,Type_C
J064,45,232,2,"M03,M04,M06,M08",179,Type_C
J065,30,124,2,"M02,M05",69,Type_B
J066,15,108,2,"M05,M06,M07",19,Type_B
J067,15,182,1,"M02,M04",132,Type_B
J068,150,180,2,"M04,M06,M07",138,Type_C
J069,15,122,2,"M01,M06,M08",69,Type_B
J070,75,178,2,"M01,M03,M04",141,Type_B
J071,75,65,2,"M02,M07,M08",28,Type_C
J072,60,196,2,"M02,M07,M08",108,Type_A
J073,105,232,2,"M02,M03,M04,M05,M07",156,Type_C
J074,15,127,2,"M01,M07",87,Type_A
J075,60,232,2,"M03,M04,M07",189,Type_A
J076,15,173,2,"M03,M04,M05",144,Type_C
J077,30,83,3,"M01,M04",38,Type_C
J078,120,116,2,"M02,M04,M07",36,Type_C
J079,105,198,2,"M02,M08",147,Type_C
J080,60,109,2,"M01,M04,M07",31,Type_B
J081,45,232,2,"M02,M06,M08",169,Type_B
J082,30,84,2,"M02,M03,M06,M07",54,Type_A
J083,15,154,2,"M03,M07",128,Type_A
J084,45,232,3,"M01,M04,M05,M07,M08",153,Type_A
J085,150,218,3,"M05,M07",149,Type_A
J086,15,226,2,"M02,M04,M08",167,Type_B
J087,15,194,2,"M02,M04,M07",138,Type_C
J088,120,156,3,"M06,M07",95,Type_C
J089,45,224,2,"M02,M03,M05,M06",150,Type_B
J090,15,86,3,"M02,M03,M04",21,Type_C
J091,15,178,2,"M01,M04,M07",142,Type_C
J092,90,102,1,"M04,M07",29,Type_C
J093,60,232,1,"M03,M04,M08",181,Type_B
J094,45,166,3,"M02,M03,M05,M07",132,Type_A
J095,120,113,1,"M02,M03,M07,M08",56,Type_C
J096,150,149,2,"M02,M03,M08",61,Type_A
J097,30,210,2,"M04,M05,M06",142,Type_B
J098,105,101,1,"M02,M06",61,Type_A
J099,30,98,2,"M02,M04,M06,M07",70,Type_C
J100,45,133,2,"M02,M03",66,Type_B
J101,45,208,1,"M02,M04,M05,M06",150,Type_A
J102,150,232,3,"M01,M02,M05,M06,M07",136,Type_A
J103,15,213,3,"M01,M03,M04,M07,M08",152,Type_B
J104,60,230,2,"M04,M07,M08",138,Type_B
J105,120,150,1,"M04,M05,M07,M08",104,Type_C
J106,30,208,2,"M06,M07,M08",152,Type_A
J107,45,83,1,"M06,M08",47,Type_C
J108,150,120,2,"M04,M06,M07",47,Type_B
J109,90,208,3,"M03,M04,M07,M08",165,Type_C
J110,150,90,3,"M02,M06",23,Type_A
J111,30,200,3,"M01,M02,M03",151,Type_A
J112,105,183,2,"M02,M06",140,Type_A
J113,60,167,2,"M01,M04,M07",133,Type_B
J114,45,85,2,"M01,M04",23,Type_C
J115,105,135,2,"M02,M06,M07",39,Type_A
J116,15,178,2,"M02,M03",140,Type_B
J117,45,232,1,"M01,M03,M05,M07",186,Type_A
J118,60,163,2,"M03,M04",120,Type_C
J119,60,147,2,"M01,M02,M07",64,Type_C
J120,60,189,1,"M04,M05,M06",133,Type_C
J121,150,232,1,"M02,M04,M07",133,Type_C
J122,60,110,3,"M03,M04,M07,M08",66,Type_B
J123,15,75,3,"M02,M06,M07",45,Type_C
J124,45,200,2,"M01,M02,M04,M08",133,Type_A
J125,30,211,3,"M01,M02,M05",141,Type_C
J126,30,232,3,"M01,M06,M07",147,Type_C
J127,30,130,1,"M01,M02,M03",44,Type_C
J128,30,232,2,"M03,M04,M07,M08",151,Type_B
J129,60,135,2,"M02,M03,M04",64,Type_C
J130,105,70,1,"M02,M03,M04,M05",15,Type_B
J131,15,96,3,"M01,M02,M05,M07",42,Type_A
J132,30,96,2,"M01,M07",61,Type_C
J133,75,93,2,"M01,M06,M07,M08",35,Type_A
J134,150,84,1,"M07,M08",25,Type_A
J135,150,105,1,"M02,M05,M08",69,Type_B
J136,60,109,3,"M01,M04,M05,M06",67,Type_A
J137,150,124,1,"M01,M02,M05,M07",54,Type_C
J138,30,120,2,"M01,M02,M06,M07",69,Type_B
J139,150,232,2,"M01,M02,M04,M08",156,Type_A
J140,15,116,2,"M01,M03,M07,M08",58,Type_C
J141,90,128,2,"M01,M06,M07,M08",32,Type_B
J142,60,217,2,"M01,M02,M03",144,Type_A
J143,15,159,1,"M01,M02,M07,M08",132,Type_C
J144,60,184,2,"M01,M06,M07",142,Type_B
J145,45,177,3,"M01,M02,M05",102,Type_A
J146,75,221,2,"M02,M03",155,Type_C
J147,30,196,2,"M01,M04,M06,M07,M08",150,Type_B
J148,45,97,2,"M06,M08",34,Type_C
J149,60,149,3,"M01,M03,M04,M07",59,Type_C
J150,150,232,1,"M01,M04,M07,M08",173,Type_B
J151,90,182,2,"M03,M04,M07,M08",149,Type_C
J152,15,126,2,"M01,M02,M03,M06",80,Type_A
J153,30,124,2,"M01,M04,M05,M07,M08",34,Type_A
J154,15,108,3,"M03,M07,M08",31,Type_B
J155,60,170,2,"M02,M04,M08",85,Type_C
J156,15,138,3,"M03,M04,M07,M08",51,Type_B
J157,120,98,3,"M01,M02,M03,M04",58,Type_B
J158,15,213,2,"M04,M05,M06",169,Type_C
J159,15,190,3,"M05,M07,M08",161,Type_C
J160,15,214,2,"M01,M04,M07,M08",189,Type_C
